Abbreviated Factor,Percentile_Prioritize_Factor,Pioritize_factor_,GEN,avg_score_factor
JSY,46.15%,4.76%,Baby Boomer,2.891891891891892
JSY,71.79%,8.57%,Gen X,3.015873015873016
JSY,46.15%,9.52%,Gen Y,3.0779220779220777
JSY,25.64%,3.33%,Gen Z,2.515151515151515
LD,100.00%,8.57%,Baby Boomer,3.2432432432432434
LD,35.90%,7.14%,Gen X,3.2698412698412698
LD,38.46%,9.05%,Gen Y,3.103896103896104
LD,0.00%,0.95%,Gen Z,2.727272727272727
LDR,28.21%,3.81%,Baby Boomer,2.6216216216216215
LDR,46.15%,7.62%,Gen X,3.0317460317460316
LDR,30.77%,8.57%,Gen Y,2.883116883116883
LDR,89.74%,5.71%,Gen Z,2.878787878787879
LOC,10.26%,2.86%,Baby Boomer,2.4054054054054053
LOC,61.54%,8.10%,Gen X,2.8253968253968256
LOC,92.31%,11.43%,Gen Y,2.5844155844155843
LOC,12.82%,2.86%,Gen Z,2.8181818181818183
LTO,46.15%,4.76%,Baby Boomer,2.8378378378378377
LTO,46.15%,7.62%,Gen X,2.9365079365079363
LTO,30.77%,8.57%,Gen Y,2.909090909090909
LTO,89.74%,5.71%,Gen Z,2.878787878787879
PC,23.08%,3.33%,Baby Boomer,3.3783783783783785
PC,94.87%,10.48%,Gen X,3.4603174603174605
PC,79.49%,10.95%,Gen Y,3.4935064935064934
PC,69.23%,4.76%,Gen Z,3.1515151515151514
PM,84.62%,5.71%,Baby Boomer,2.7567567567567566
PM,84.62%,9.52%,Gen X,2.9365079365079363
PM,74.36%,10.48%,Gen Y,2.7532467532467533
PM,12.82%,2.86%,Gen Z,2.6666666666666665
PNM,10.26%,2.86%,Baby Boomer,2.5675675675675675
PNM,84.62%,9.52%,Gen X,2.5714285714285716
PNM,12.82%,7.14%,Gen Y,2.4415584415584415
PNM,69.23%,4.76%,Gen Z,2.727272727272727
PO,76.92%,5.24%,Baby Boomer,2.675675675675676
PO,35.90%,7.14%,Gen X,2.8412698412698414
PO,20.51%,7.62%,Gen Y,2.727272727272727
PO,12.82%,2.86%,Gen Z,2.757575757575758
PRD,92.31%,6.67%,Baby Boomer,3.135135135135135
PRD,2.56%,4.29%,Gen X,3.2063492063492065
PRD,66.67%,10.00%,Gen Y,3.25974025974026
PRD,53.85%,4.29%,Gen Z,2.9696969696969697
PSDM,46.15%,4.76%,Baby Boomer,2.864864864864865
PSDM,46.15%,7.62%,Gen X,2.6666666666666665
PSDM,92.31%,11.43%,Gen Y,2.6493506493506493
PSDM,53.85%,4.29%,Gen Z,2.727272727272727
PWE,41.03%,4.29%,Baby Boomer,3.1621621621621623
PWE,61.54%,8.10%,Gen X,3.111111111111111
PWE,46.15%,9.52%,Gen Y,3.25974025974026
PWE,38.46%,3.81%,Gen Z,2.8484848484848486
RC,46.15%,4.76%,Baby Boomer,3.5945945945945947
RC,23.08%,6.67%,Gen X,3.4126984126984126
RC,25.64%,8.10%,Gen Y,3.4545454545454546
RC,38.46%,3.81%,Gen Z,3.515151515151515
REC,10.26%,2.86%,Baby Boomer,2.891891891891892
REC,5.13%,4.76%,Gen X,3.0634920634920637
REC,0.00%,6.19%,Gen Y,2.779220779220779
REC,84.62%,5.24%,Gen Z,3.0303030303030303
RIS,10.26%,2.86%,Baby Boomer,2.972972972972973
RIS,23.08%,6.67%,Gen X,3.1587301587301586
RIS,12.82%,7.14%,Gen Y,2.961038961038961
RIS,25.64%,3.33%,Gen Z,2.8181818181818183
RO,46.15%,4.76%,Baby Boomer,3.324324324324324
RO,7.69%,5.24%,Gen X,3.3174603174603177
RO,5.13%,6.67%,Gen Y,3.272727272727273
RO,38.46%,3.81%,Gen Z,2.9696969696969697
RR,0.00%,1.90%,Baby Boomer,2.891891891891892
RR,84.62%,9.52%,Gen X,2.8253968253968256
RR,38.46%,9.05%,Gen Y,2.935064935064935
RR,53.85%,4.29%,Gen Z,2.727272727272727
RWD,46.15%,4.76%,Baby Boomer,2.4324324324324325
RWD,23.08%,6.67%,Gen X,2.253968253968254
RWD,92.31%,11.43%,Gen Y,2.220779220779221
RWD,12.82%,2.86%,Gen Z,2.121212121212121
STD,84.62%,5.71%,Baby Boomer,2.945945945945946
STD,12.82%,5.71%,Gen X,2.761904761904762
STD,79.49%,10.95%,Gen Y,2.831168831168831
STD,84.62%,5.24%,Gen Z,2.515151515151515
TD,0.00%,1.90%,Baby Boomer,2.810810810810811
TD,23.08%,6.67%,Gen X,3.0317460317460316
TD,46.15%,9.52%,Gen Y,2.9740259740259742
TD,89.74%,5.71%,Gen Z,2.6666666666666665
TECH,46.15%,4.76%,Baby Boomer,3.081081081081081
TECH,23.08%,6.67%,Gen X,3.1904761904761907
TECH,38.46%,9.05%,Gen Y,3.038961038961039
TECH,100.00%,6.67%,Gen Z,3.090909090909091
TH,46.15%,4.76%,Baby Boomer,2.945945945945946
TH,76.92%,9.05%,Gen X,3.1904761904761907
TH,66.67%,10.00%,Gen Y,3.012987012987013
TH,5.13%,1.90%,Gen Z,2.909090909090909
TW,28.21%,3.81%,Baby Boomer,3.4054054054054053
TW,0.00%,3.81%,Gen X,3.2698412698412698
TW,46.15%,9.52%,Gen Y,3.2857142857142856
TW,53.85%,4.29%,Gen Z,3.121212121212121
WLB,92.31%,6.67%,Baby Boomer,2.4324324324324325
WLB,46.15%,7.62%,Gen X,2.5873015873015874
WLB,100.00%,12.38%,Gen Y,2.4025974025974026
WLB,69.23%,4.76%,Gen Z,2.3636363636363638
WP,46.15%,4.76%,Baby Boomer,2.675675675675676
WP,46.15%,7.62%,Gen X,2.6031746031746033
WP,66.67%,10.00%,Gen Y,2.4935064935064934
WP,38.46%,3.81%,Gen Z,2.5454545454545454
